time_(s) Channel_Number voltage_(v) current_(a) energy_(J)
55.617948055267334 1 10.31 1.952 34368.231
56.10722351074219 1 10.41 1.984 34378.451
56.639299631118774 1 10.41 1.984 34388.671
57.13082933425903 1 10.51 1.984 34398.911
57.67247939109802 1 10.51 1.984 34409.131
58.149699687957764 1 10.41 1.952 34419.351
58.67523384094238 1 10.41 1.984 34429.591
59.18334674835205 1 10.81 1.952 34440.137
59.666383028030396 1 10.31 1.984 34450.496
60.163763999938965 1 10.71 1.984 34461.134
60.696316957473755 1 10.61 1.984 34471.421
61.206265687942505 1 10.51 1.984 34482.105
61.72711110115051 1 10.31 1.984 34492.325
62.266597270965576 1 10.71 1.952 34502.545
62.77716660499573 1 10.41 2.31 34513.529
63.254634380340576 1 10.41 2.049 34525.094
63.75625491142273 1 10.51 2.082 34535.825
64.29135942459106 1 10.41 2.049 34546.577
64.81517171859741 1 10.61 2.049 34557.308
65.31731081008911 1 10.51 2.049 34568.039
65.82558560371399 1 10.61 2.082 34578.77
66.35666012763977 1 10.51 2.049 34589.987
66.85047197341919 1 10.41 2.049 34600.718
67.38727617263794 1 10.31 2.049 34611.449
67.89751029014587 1 10.51 1.984 34621.994
68.40521216392517 1 10.51 2.049 34632.467
68.89691591262817 1 10.41 2.082 34643.198
69.4059545993805 1 10.51 2.049 34653.929
69.94577956199646 1 10.61 2.049 34664.681
70.44126009941101 1 10.109 2.082 34675.412
70.95064926147461 1 5.705 1.496 34683.353
71.47632122039795 1 4.404 1.106 34687.257
71.97131538391113 1 4.104 0.846 34689.212
72.48002433776855 1 4.104 0.748 34690.745
72.97493815422058 1 4.104 0.748 34692.278
73.51821637153625 1 3.703 0.715 34693.579
74.01152157783508 1 3.503 0.65 34694.603
74.51995301246643 1 3.403 0.65 34695.625
75.04382467269897 1 3.503 0.553 34696.275
75.52446746826172 1 3.403 0.618 34697.204
76.0274658203125 1 3.403 0.618 34697.763
76.58296656608582 1 3.603 0.553 34698.738
77.09247875213623 1 3.503 0.618 34699.342
77.57872796058655 1 3.503 0.65 34700.364
78.095942735672 1 3.403 0.65 34701.388
78.63533735275269 1 3.503 0.553 34702.177
79.13798093795776 1 3.403 0.618 34702.967
79.63749575614929 1 3.403 0.553 34703.664
80.16151547431946 1 3.503 0.553 34704.176
80.6557183265686 1 3.503 0.618 34705.106
81.17914414405823 1 3.503 0.553 34706.128
81.68776607513428 1 3.503 0.618 34706.685
82.19789099693298 1 3.503 0.65 34707.709
82.70865249633789 1 3.503 0.65 34708.731
83.21876740455627 1 3.303 0.65 34709.753
83.72807002067566 1 3.303 0.553 34710.543
84.25166058540344 1 5.905 0.553 34711.613
84.74769449234009 1 10.31 1.008 34715.428
85.27438187599182 1 13.413 1.887 34726.118
85.78556895256042 1 14.213 2.603 34743.491
86.27938580513 1 15.615 2.993 34765.178
86.7883973121643 1 15.114 3.091 34788.684
87.31662034988403 1 15.615 3.026 34812.283
87.81265902519226 1 15.815 3.091 34836.439
88.31270790100098 1 15.615 3.123 34861.015
88.83274817466736 1 15.415 3.123 34885.543
89.35641503334045 1 15.715 3.026 34909.792
89.86412596702576 1 15.915 3.091 34934.508
90.38076138496399 1 15.214 3.188 34959.175
90.88809442520142 1 15.615 3.026 34983.285
91.40633416175842 1 15.515 3.123 35007.302
91.91708779335022 1 16.015 3.123 35031.972
92.41103911399841 1 15.114 3.188 35057.336
92.9360899925232 1 15.314 3.026 35081.586
93.43157601356506 1 15.415 3.026 35105.138
93.93221497535706 1 15.114 3.026 35128.411
94.45646810531616 1 15.515 3.026 35151.685
